code,city,state,lat,long
NM00101,Albuquerque,NM,35.0844909,-106.6511367
TX22001,Arlington,TX,32.735687,-97.1080656
GAAPD00,Atlanta,GA,33.7489954,-84.3879824
CO00101,Aurora,CO,39.7294319,-104.8319195
TX22701,Austin,TX,30.267153,-97.7430608
MDBPD00,Baltimore,MD,39.2903848,-76.6121893
MD00301,Baltimore,MD,39.2903848,-76.6121893
MA01301,Boston,MA,42.3584308,-71.0597732
NY01401,Buffalo,NY,42.8864468,-78.8783689
NC06001,Charlotte,NC,35.2270869,-80.8431268
ILCPD00,Chicago,IL,41.850033,-87.6500523
OHCIP00,Cincinnati,OH,39.1146631,-84.52968641
OHCLP00,Cleveland,OH,41.4994954,-81.6954088
OHCOP00,Columbus,OH,39.9611755,-82.9987942
TXDPD00,Dallas,TX,32.7830556,-96.8066667
CODPD00,Denver,CO,39.7391536,-104.9847034
MI82349,Detroit,MI,42.331427,-83.0457538
TX07102,El Paso,TX,31.7587198,-106.4869314
VA02901,Fairfax County,VA,38.8462236,-77.3063733
TX22012,Fort Worth,TX,32.725409,-97.3208496
CA01005,Fresno,CA,36.7477272,-119.7723661
HI00200,Honolulu,HI,21.3069444,-157.8583333
TXHPD00,Houston,TX,29.7632836,-95.3632715
INIPD00,Indianapolis,IN,39.7683765,-86.1580423
FL01602,Jacksonville,FL,30.3321838,-81.655651
MOKPD00,Kansas City,MO,39.0997266,-94.5785667
NV00201,Las Vegas,NV,36.1749705,-115.137223
CA01941,Long Beach,CA,33.7669623,-118.1892348
CA01942,Los Angeles,CA,34.0522342,-118.2436849
CA01900,Los Angeles,CA,34.0522342,-118.2436849
KY05680,Louisville,KY,38.2542376,-85.759407
TNMPD00,Memphis,TN,35.1495343,-90.0489801
AZ00717,Mesa,AZ,33.4222685,-111.8226402
FL01306,Miami,FL,25.7742658,-80.1936589
FL01300,Miami,FL,25.7742658,-80.1936589
WIMPD00,Milwaukee,WI,43.0389025,-87.9064736
MN02711,Minneapolis,MN,44.9799654,-93.2638361
MD01604,Montgomery County,MD,39.0839973,-77.1527578
TN01901,Nashville,TN,36.1658899,-86.7844432
NY02900,Nassau County,NY,40.7062128,-73.6187397
LANPD00,New Orleans,LA,29.9546482,-90.075072
NY03030,New York,NY,40.76149276,-73.98143112
NJNPD00,Newark,NJ,40.735657,-74.1723667
CA00109,Oakland,CA,37.8043722,-122.2708026
OK05506,Oklahoma City,OK,35.4715076,-97.54021069
NB02802,Omaha,NE,41.2586096,-95.937792
FL04804,Orlando,FL,28.5383355,-81.3792365
PAPEP00,Philadelphia,PA,39.952335,-75.163789
AZ00723,Phoenix,AZ,33.4483771,-112.0740373
PAPPD00,Pittsburgh,PA,40.4406248,-79.9958864
OR02602,Portland,OR,45.5234515,-122.6762071
MD01721,Prince George's County,MD,38.97171205,-76.74855206
NC09201,Raleigh,NC,35.772096,-78.6386145
CA03404,Sacramento,CA,38.5815719,-121.4943996
UT01803,Salt Lake City,UT,40.7607794,-111.8910474
TXSPD00,San Antonio,TX,29.4241219,-98.4936282
CA03711,San Diego,CA,32.7153292,-117.1572551
CA03801,San Francisco,CA,37.7749295,-122.4194155
CA04313,San Jose,CA,37.3393857,-121.8949555
WASPD00,Seattle,WA,47.6062095,-122.3320708
MOSPD00,Saint Louis,MO,38.6272733,-90.1978889
NY05101,Suffolk County,NY,40.7792653,-72.9153827
FL02902,Tampa,FL,27.9475216,-82.4584279
AZ01003,Tucson,AZ,32.2217429,-110.926479
OK07205,Tulsa,OK,36.157929,-96.01655809
VA12800,Virginia Beach,VA,36.8529263,-75.977985
DCMPD00,Washington,DC,38.8951118,-77.0363658
KS08703,Wichita,KS,37.6922361,-97.3375448
